file_name,duration,unit
plan_184,"192.38","us"
plan_177,"215.90","us"
plan_161,"387.10","us"
plan_190,"182.21","us"
plan_192,"183.17","us"
plan_176,"218.59","us"
plan_182,"183.39","us"
plan_170,"399.30","us"
plan_178,"219.65","us"
plan_17,"193.31","us"
plan_198,"194.40","us"
plan_199,"190.66","us"
plan_193,"183.94","us"
plan_207,"181.95","us"
plan_201,"193.31","us"
plan_186,"189.92","us"
plan_187,"190.91","us"
plan_191,"186.91","us"
plan_185,"187.46","us"
plan_179,"221.63","us"
plan_195,"189.12","us"
plan_208,"173.86","us"
plan_200,"308.77","us"
plan_2,"213.66","us"
plan_202,"191.20","us"
plan_21,"201.70","us"
plan_20,"184.58","us"
plan_188,"193.89","us"
plan_194,"188.54","us"
plan_210,"176.48","us"
plan_196,"193.66","us"
plan_204,"201.38","us"
plan_216,"183.94","us"
plan_217,"176.22","us"
plan_203,"314.21","us"
plan_209,"182.59","us"
plan_225,"218.37","us"
plan_219,"178.37","us"
plan_205,"203.01","us"
plan_22,"204.99","us"
plan_211,"179.71","us"
plan_220,"177.98","us"
plan_213,"187.71","us"
plan_197,"193.09","us"
plan_218,"182.78","us"
plan_206,"312.22","us"
plan_234,"183.04","us"
plan_229,"214.82","us"
plan_214,"192.51","us"
plan_228,"214.82","us"
plan_237,"178.72","us"
plan_226,"214.08","us"
plan_222,"190.43","us"
plan_212,"188.58","us"
plan_227,"371.17","us"
plan_243,"181.44","us"
plan_235,"176.42","us"
plan_221,"188.70","us"
plan_238,"178.62","us"
plan_223,"194.05","us"
plan_215,"191.78","us"
plan_246,"201.98","us"
plan_244,"188.35","us"
plan_23,"189.28","us"
plan_230,"372.16","us"
plan_231,"368.29","us"
plan_232,"370.34","us"
plan_236,"184.35","us"
plan_247,"193.22","us"
plan_24,"188.32","us"
plan_240,"190.78","us"
plan_224,"197.18","us"
plan_253,"205.47","us"
plan_239,"188.22","us"
plan_233,"374.05","us"
plan_261,"212.80","us"
plan_255,"208.64","us"
plan_252,"202.24","us"
plan_245,"181.50","us"
plan_241,"194.18","us"
plan_27,"193.12","us"
plan_256,"209.25","us"
plan_254,"203.94","us"
plan_270,"180.70","us"
plan_242,"199.07","us"
plan_262,"211.23","us"
plan_264,"211.17","us"
plan_248,"186.88","us"
plan_250,"187.17","us"
plan_249,"188.48","us"
plan_25,"195.55","us"
plan_265,"212.67","us"
plan_258,"208.35","us"
plan_273,"175.04","us"
plan_257,"207.68","us"
plan_263,"351.30","us"
plan_279,"205.18","us"
plan_274,"176.58","us"
plan_259,"213.09","us"
plan_251,"191.90","us"
plan_28,"190.02","us"
plan_288,"204.38","us"
plan_271,"174.75","us"
plan_280,"198.91","us"
plan_266,"355.52","us"
plan_268,"223.36","us"
plan_26,"196.86","us"
plan_260,"211.81","us"
plan_276,"186.05","us"
plan_267,"221.09","us"
plan_272,"180.22","us"
plan_283,"201.09","us"
plan_282,"201.18","us"
plan_275,"184.86","us"
plan_269,"355.10","us"
plan_297,"207.23","us"
plan_277,"188.51","us"
plan_289,"200.93","us"
plan_29,"307.39","us"
plan_292,"197.98","us"
plan_285,"206.11","us"
plan_281,"201.44","us"
plan_290,"205.09","us"
plan_291,"200.58","us"
plan_30,"193.95","us"
plan_3,"208.26","us"
plan_286,"205.70","us"
plan_284,"206.11","us"
plan_300,"215.30","us"
plan_294,"215.46","us"
plan_306,"222.91","us"
plan_298,"211.87","us"
plan_278,"189.54","us"
plan_307,"222.78","us"
plan_309,"224.58","us"
plan_293,"209.12","us"
plan_315,"214.24","us"
plan_295,"210.27","us"
plan_299,"215.68","us"
plan_301,"216.29","us"
plan_310,"225.95","us"
plan_287,"210.14","us"
plan_324,"218.24","us"
plan_308,"379.87","us"
plan_31,"191.39","us"
plan_318,"214.14","us"
plan_316,"208.64","us"
plan_296,"216.35","us"
plan_303,"216.22","us"
plan_312,"229.95","us"
plan_319,"210.11","us"
plan_302,"217.86","us"
plan_325,"215.46","us"
plan_304,"221.06","us"
plan_327,"216.48","us"
plan_311,"372.74","us"
plan_317,"216.16","us"
plan_313,"229.31","us"
plan_328,"214.24","us"
plan_305,"222.08","us"
plan_333,"220.10","us"
plan_321,"214.53","us"
plan_326,"384.70","us"
plan_32,"310.59","us"
